x y z dx dy dz magnitude
20.2205 -11.11 33.5052 6.12438 28.5608 -13.9455 32.3683
-0.199231 20.0551 30.3226 5.15745 10.0081 -18.6695 21.8016
17.2891 18.732 18.7711 2.97833 1.70798 -2.34957 4.1603
17.2016 44.9586 13.6645 -8.32308 -35.2802 -2.3283 36.3234
16.9428 2.1695 7.156 -23.0016 -3.59585 9.35644 25.0908
16.1585 19.5798 11.0084 -7.94502 24.8298 28.7321 38.7966
-3.84314 1.01291 5.66234 6.26604 1.90236 0.739664 6.59009
18.894 25.1489 16.9051 -11.6916 1.01907 -20.8917 23.9623
5.93523 13.8467 16.9289 -9.71005 -6.52707 -1.77666 11.834
-4.79939 19.3432 10.4046 11.0861 -9.48599 -9.20117 17.2496
-5.51877 -0.218762 8.80514 12.0525 2.86222 -4.9184 13.3284
-3.64854 19.6682 26.7499 22.7637 -10.1249 -1.32363 24.949
16.3015 19.8593 15.4826 -6.44709 -0.084948 -3.58755 7.37853
18.0891 28.245 -3.31144 -8.80375 -15.2827 9.78169 20.168
8.01355 14.2249 -4.89273 11.639 3.38097 8.30196 14.6908
12.8178 18.5008 17.6337 4.28596 -6.2966 -9.40538 12.1028
-4.23983 18.1715 -1.27371 7.7645 -10.6079 2.61359 13.4032
-20.2707 -0.935659 69.2592 74.7538 4.50089 -78.2269 108.295
32.5677 16.0156 9.55991 -16.3456 -17.9411 -14.5579 28.3018
-4.30512 27.5853 9.03719 8.35228 -2.34395 8.65364 12.2532
17.5648 17.2261 11.9083 -21.2217 -10.1563 0.606715 23.5347
23.2592 28.4536 19.4578 1.09129 -5.58384 -0.211778 5.69342
4.34118 17.0586 19.6295 -3.28802 -8.90262 -11.4655 14.8837
6.65395 -0.632918 16.6871 -12.0573 4.98456 -18.5284 22.6611
22.9047 20.0305 18.0636 -24.4276 -10.1752 14.5274 30.1876
18.8564 12.4265 22.3838 -13.461 3.03961 1.55823 13.8876
16.3381 7.07534 29.7163 -0.723075 22.2472 -7.4671 23.4781
6.95523 7.82436 16.5011 -4.70746 -1.24708 3.42138 5.95157
8.87547 -0.212655 7.29765 23.0135 4.06239 6.44633 24.2421
22.9248 29.9067 16.2414 -0.0364867 -7.09546 0.071105 7.09591
7.57718 11.0657 4.19933 0.273819 -4.86719 -0.761268 4.93397
-0.151902 6.40886 17.0829 3.49499 3.41509 -10.0183 11.1464
29.745 -6.27607 27.9442 -6.56899 9.38885 -7.67755 13.793
